home;away;date;gh;ga;full_time;home_ident;away_ident;winner;year;month
Nacional;Tacuarembo Futbol Club;30/09/2001;2;1;F;Nacional (Uruguay);Tacuarembo Futbol Club (Uruguay);L;2001;9
Tacuarembo Futbol Club;CA Penarol;06/10/2001;0;1;F;Tacuarembo Futbol Club (Uruguay);CA Penarol (Uruguay);V;2001;10
Bella Vista;CA Fenix;10/10/2001;1;0;F;Bella Vista (Uruguay);CA Fenix (Uruguay);L;2001;10
Defensor Sporting;CA Juventud;10/10/2001;2;3;F;Defensor Sporting (Uruguay);CA Juventud (Uruguay);V;2001;10
Montevideo Wanderers;Nacional;10/10/2001;1;2;F;Montevideo Wanderers (Uruguay);Nacional (Uruguay);V;2001;10
Paysandu FC;CA Penarol;10/10/2001;0;1;F;Paysandu FC (Uruguay);CA Penarol (Uruguay);V;2001;10
Tacuarembo Futbol Club;Danubio;10/10/2001;1;0;F;Tacuarembo Futbol Club (Uruguay);Danubio (Uruguay);L;2001;10
Nacional;Bella Vista;13/10/2001;3;0;F;Nacional (Uruguay);Bella Vista (Uruguay);L;2001;10
CA Fenix;Paysandu FC;14/10/2001;3;3;F;CA Fenix (Uruguay);Paysandu FC (Uruguay);E;2001;10
CA Juventud;Danubio;14/10/2001;2;3;F;CA Juventud (Uruguay);Danubio (Uruguay);V;2001;10
Montevideo Wanderers;CA Penarol;14/10/2001;1;1;F;Montevideo Wanderers (Uruguay);CA Penarol (Uruguay);E;2001;10
Tacuarembo Futbol Club;Defensor Sporting;14/10/2001;1;2;F;Tacuarembo Futbol Club (Uruguay);Defensor Sporting (Uruguay);V;2001;10
Danubio;CA Penarol;20/10/2001;2;1;F;Danubio (Uruguay);CA Penarol (Uruguay);L;2001;10
Bella Vista;Tacuarembo Futbol Club;21/10/2001;1;2;F;Bella Vista (Uruguay);Tacuarembo Futbol Club (Uruguay);V;2001;10
CA Juventud;CA Fenix;21/10/2001;0;0;F;CA Juventud (Uruguay);CA Fenix (Uruguay);E;2001;10
Defensor Sporting;Nacional;21/10/2001;3;3;F;Defensor Sporting (Uruguay);Nacional (Uruguay);E;2001;10
Paysandu FC;Montevideo Wanderers;21/10/2001;1;2;F;Paysandu FC (Uruguay);Montevideo Wanderers (Uruguay);V;2001;10
Defensor Sporting;Montevideo Wanderers;26/10/2001;2;1;F;Defensor Sporting (Uruguay);Montevideo Wanderers (Uruguay);L;2001;10
Bella Vista;Paysandu FC;27/10/2001;1;2;F;Bella Vista (Uruguay);Paysandu FC (Uruguay);V;2001;10
CA Penarol;Nacional;27/10/2001;0;2;F;CA Penarol (Uruguay);Nacional (Uruguay);V;2001;10
Danubio;CA Fenix;27/10/2001;4;1;F;Danubio (Uruguay);CA Fenix (Uruguay);L;2001;10
Tacuarembo Futbol Club;CA Juventud;27/10/2001;1;1;F;Tacuarembo Futbol Club (Uruguay);CA Juventud (Uruguay);E;2001;10
Nacional;Danubio;02/12/2001;2;2;F;Nacional (Uruguay);Danubio (Uruguay);E;2001;12
Danubio;Nacional;05/12/2001;1;2;F;Danubio (Uruguay);Nacional (Uruguay);V;2001;12
CA Penarol;CA Fenix;02/02/2002;2;2;F;CA Penarol (Uruguay);CA Fenix (Uruguay);E;2002;2
Deportivo Maldonado;Plaza Colonia;02/02/2002;1;2;F;Deportivo Maldonado (Uruguay);Plaza Colonia (Uruguay);V;2002;2
Central Espanol;Nacional;03/02/2002;0;5;F;Central Espanol (Uruguay);Nacional (Uruguay);V;2002;2
Cerro Largo FC;Danubio;03/02/2002;0;2;F;Cerro Largo FC (Uruguay);Danubio (Uruguay);V;2002;2
Montevideo Wanderers;CSyd Villa Espanola;03/02/2002;1;0;F;Montevideo Wanderers (Uruguay);CSyd Villa Espanola (Uruguay);L;2002;2
Paysandu FC;Defensor Sporting;03/02/2002;0;2;F;Paysandu FC (Uruguay);Defensor Sporting (Uruguay);V;2002;2
Racing Club;Bella Vista;03/02/2002;3;2;F;Racing Club (Uruguay);Bella Vista (Uruguay);L;2002;2
River Plate;CA Progreso;03/02/2002;2;0;F;River Plate (Uruguay);CA Progreso (Uruguay);L;2002;2
Tacuarembo Futbol Club;CA Juventud;03/02/2002;2;1;F;Tacuarembo Futbol Club (Uruguay);CA Juventud (Uruguay);L;2002;2
Deportivo Maldonado;Defensor Sporting;08/02/2002;0;1;F;Deportivo Maldonado (Uruguay);Defensor Sporting (Uruguay);V;2002;2
Paysandu FC;Central Espanol;09/02/2002;0;3;F;Paysandu FC (Uruguay);Central Espanol (Uruguay);V;2002;2
Plaza Colonia;Nacional;09/02/2002;0;3;F;Plaza Colonia (Uruguay);Nacional (Uruguay);V;2002;2
CA Juventud;River Plate;10/02/2002;1;5;F;CA Juventud (Uruguay);River Plate (Uruguay);V;2002;2
CSyd Villa Espanola;CA Fenix;10/02/2002;1;1;F;CSyd Villa Espanola (Uruguay);CA Fenix (Uruguay);E;2002;2
Cerro Largo FC;Racing Club;10/02/2002;1;2;F;Cerro Largo FC (Uruguay);Racing Club (Uruguay);V;2002;2
Danubio;Bella Vista;10/02/2002;2;3;F;Danubio (Uruguay);Bella Vista (Uruguay);V;2002;2
Montevideo Wanderers;CA Penarol;10/02/2002;1;3;F;Montevideo Wanderers (Uruguay);CA Penarol (Uruguay);V;2002;2
Tacuarembo Futbol Club;CA Progreso;10/02/2002;0;0;F;Tacuarembo Futbol Club (Uruguay);CA Progreso (Uruguay);E;2002;2
Paysandu FC;Montevideo Wanderers;15/02/2002;3;0;F;Paysandu FC (Uruguay);Montevideo Wanderers (Uruguay);L;2002;2
CA Penarol;Danubio;16/02/2002;2;1;F;CA Penarol (Uruguay);Danubio (Uruguay);L;2002;2
CA Fenix;Racing Club;17/02/2002;2;1;F;CA Fenix (Uruguay);Racing Club (Uruguay);L;2002;2
CA Juventud;CA Progreso;17/02/2002;1;1;F;CA Juventud (Uruguay);CA Progreso (Uruguay);E;2002;2
Cerro Largo FC;River Plate;17/02/2002;3;3;F;Cerro Largo FC (Uruguay);River Plate (Uruguay);E;2002;2
Defensor Sporting;CSyd Villa Espanola;17/02/2002;1;1;F;Defensor Sporting (Uruguay);CSyd Villa Espanola (Uruguay);E;2002;2
