home,away,date,gh,ga,full_time,winner,year,month
River Plate,Central Espanol,1934-05-26,0,0,F,E,1934,5
Defensor Sporting,Central Espanol,1934-06-02,2,0,F,L,1934,6
Institucion Atletica Sud America,Bella Vista,1934-06-02,1,2,F,V,1934,6
Nacional,Montevideo Wanderers,1934-06-02,2,0,F,L,1934,6
Rampla Juniors Futbol Club,CA Penarol,1934-06-02,1,2,F,V,1934,6
River Plate,Racing Club,1934-06-02,2,0,F,L,1934,6
Montevideo Wanderers,Institucion Atletica Sud America,1934-06-09,1,0,F,L,1934,6
Nacional,Central Espanol,1934-06-09,1,0,F,L,1934,6
Racing Club,CA Penarol,1934-06-09,1,2,F,V,1934,6
Rampla Juniors Futbol Club,Bella Vista,1934-06-09,2,2,F,E,1934,6
River Plate,Defensor Sporting,1934-06-09,1,0,F,L,1934,6
CA Penarol,Montevideo Wanderers,1934-06-16,1,2,F,V,1934,6
Central Espanol,Bella Vista,1934-06-16,1,1,F,E,1934,6
Defensor Sporting,Racing Club,1934-06-16,1,1,F,E,1934,6
Institucion Atletica Sud America,River Plate,1934-06-16,2,2,F,E,1934,6
Nacional,Rampla Juniors Futbol Club,1934-06-16,3,2,F,L,1934,6
Bella Vista,Defensor Sporting,1934-06-23,0,3,F,V,1934,6
Central Espanol,CA Penarol,1934-06-23,1,1,F,E,1934,6
Racing Club,Institucion Atletica Sud America,1934-06-23,1,1,F,E,1934,6
Rampla Juniors Futbol Club,Montevideo Wanderers,1934-06-23,1,1,F,E,1934,6
River Plate,Nacional,1934-06-23,0,1,F,V,1934,6
Bella Vista,River Plate,1934-06-30,2,3,F,V,1934,6
CA Penarol,Nacional,1934-06-30,1,1,F,E,1934,6
Institucion Atletica Sud America,Central Espanol,1934-06-30,1,2,F,V,1934,6
Montevideo Wanderers,Defensor Sporting,1934-06-30,3,1,F,L,1934,6
Rampla Juniors Futbol Club,Racing Club,1934-06-30,1,0,F,L,1934,6
Bella Vista,CA Penarol,1934-08-04,1,3,F,V,1934,8
Institucion Atletica Sud America,Defensor Sporting,1934-08-04,1,4,F,V,1934,8
Racing Club,Nacional,1934-08-04,0,5,F,V,1934,8
Rampla Juniors Futbol Club,Central Espanol,1934-08-04,6,3,F,L,1934,8
River Plate,Montevideo Wanderers,1934-08-04,1,4,F,V,1934,8
Bella Vista,Montevideo Wanderers,1934-08-11,1,3,F,V,1934,8
CA Penarol,River Plate,1934-08-11,1,1,F,E,1934,8
Central Espanol,Racing Club,1934-08-11,2,2,F,E,1934,8
Nacional,Institucion Atletica Sud America,1934-08-11,2,0,F,L,1934,8
Rampla Juniors Futbol Club,Defensor Sporting,1934-08-11,1,2,F,V,1934,8
Bella Vista,Racing Club,1934-08-18,2,2,F,E,1934,8
CA Penarol,Institucion Atletica Sud America,1934-08-18,2,1,F,L,1934,8
