model,variant,variant_rank,n_features,parameters,decision,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,train_accuracy_mean,train_accuracy_std,train_macro_f1_mean,train_macro_f1_std,draw_recall_mean,draw_recall_std,draw_f1_mean,draw_f1_std,true_draws_total,predicted_draws_total
ID3,plus_draw_rates,4,8,"{""min_info_gain"": 0.005}",three_class,0.40659809326475993,0.025204408694779752,0.3916887379527598,0.02684789784144788,0.6277419179438716,0.0018618451311409486,0.6024959843436086,0.0012157665316136156,0.33647644062078724,0.05107536382856583,0.3370671484492623,0.06023179698290598,273,274
ID3,plus_draw_rates,4,8,"{""min_info_gain"": 0.005}",never_draw,0.3967211800545134,0.0029452743465584966,0.2961676104061961,0.001800161086040886,0.5683591645393055,0.0014247931454572588,0.4278777227933363,0.0007206976522730887,0.0,0.0,0.0,0.0,273,0
NB propio,plus_draw_rates,4,8,"{""m"": 0.1}",three_class,0.42237910237910237,0.036000116772245606,0.3840525487804074,0.030096210414852245,0.47395856911299833,0.00019382001412363202,0.40633665749424686,0.00079824527859186,0.13803483247467252,0.02818207875864773,0.18515803939532752,0.03633305905878691,273,133
NB propio,plus_draw_rates,4,8,"{""m"": 0.1}",never_draw,0.4339654172987506,0.036505286571551755,0.3355656805240163,0.02674352521735591,0.47997438684639326,0.0003949428293651331,0.360910574423746,0.00023265206983339465,0.0,0.0,0.0,0.0,273,0
CategoricalNB,plus_draw_rates,4,8,"{""alpha"": 0.025}",three_class,0.42237910237910237,0.036000116772245606,0.3840525487804074,0.030096210414852245,0.47395856911299833,0.00019382001412363202,0.40633665749424686,0.00079824527859186,0.13803483247467252,0.02818207875864773,0.18515803939532752,0.03633305905878691,273,133
CategoricalNB,plus_draw_rates,4,8,"{""alpha"": 0.025}",never_draw,0.4339654172987506,0.036505286571551755,0.3355656805240163,0.02674352521735591,0.47997438684639326,0.0003949428293651331,0.360910574423746,0.00023265206983339465,0.0,0.0,0.0,0.0,273,0
Random Forest,plus_draw_rates,4,8,"{""max_depth"": null, ""min_samples_leaf"": 20}",three_class,0.4075211208544542,0.035434404095602064,0.39312703004725075,0.02959970721892083,0.628484539338199,0.0003927832038062467,0.6222501769195529,0.0004512344669556221,0.27925320094279743,0.02822466305633687,0.2911504437065639,0.03615871846682827,273,251
Random Forest,plus_draw_rates,4,8,"{""max_depth"": null, ""min_samples_leaf"": 20}",never_draw,0.42462377129043793,0.03867606433893922,0.3283625404591482,0.02538406786982373,0.5504240266685142,0.0015638882432058654,0.42120346057857594,0.0011324178174313307,0.0,0.0,0.0,0.0,273,0
ID3,without_home_history,5,5,"{""min_info_gain"": 0.005}",three_class,0.40098247431580764,0.032345762221008836,0.3252179571053632,0.03445210079255338,0.5017377286734261,0.0037694823310507985,0.3877156856818735,0.00768686904239967,0.06808598377191741,0.015909295637087664,0.11539926739926738,0.022911328653424795,273,48
ID3,without_home_history,5,5,"{""min_info_gain"": 0.005}",never_draw,0.39246185912852577,0.03546650927033171,0.2864962566640777,0.030332189798220013,0.4986786365205717,0.003413253455878294,0.3593024461687597,0.006109841423472963,0.0,0.0,0.0,0.0,273,0
