date,home,away,winner,model,joint_log_E,log_probability_E,joint_log_L,log_probability_L,joint_log_V,log_probability_V
2025-03-07,Defensor Sporting,Liverpool,V,NB propio,-12.71357983842863,-1.7039418688771217,-11.511737227277669,-0.5020992577261598,-12.557151202314348,-1.5475132327628387
2025-03-07,Torque FC,Plaza Colonia,E,NB propio,-12.33328929451495,-1.7700460390486352,-12.82412042357552,-2.2608771681092055,-10.88425344267143,-0.32101018720511476
2025-03-08,CA Cerro,CA Juventud,L,NB propio,-11.96899984923196,-1.1005690012709994,-12.419969245642136,-1.5515383976811759,-11.655017519611468,-0.7865866716505074
2025-03-09,CA Penarol,Racing Club,V,NB propio,-12.514812702009337,-1.984114152936069,-10.710577542127787,-0.17987899305451904,-14.137948515974186,-3.607249966900918
2025-03-09,CA Progreso,Boston River,E,NB propio,-12.343979683129692,-1.005352291782124,-12.092767311685508,-0.7541399203379395,-13.14853497507211,-1.8099075837245415
2025-03-09,Nacional,River Plate,E,NB propio,-12.881566277589892,-3.0795503133048943,-9.852474212010845,-0.05045824772584773,-15.538390084205886,-5.736374119920889
2025-03-10,Miramar Misiones,Danubio,L,NB propio,-12.083702580529721,-0.9827900958926357,-12.736386802760759,-1.6354743181236735,-11.942850500374727,-0.8419380157376413
2025-03-11,Montevideo Wanderers,Cerro Largo FC,L,NB propio,-12.270357263493183,-1.6053706815947422,-13.268697214049045,-2.6037106321506034,-10.986313121328024,-0.3213265394295828
2025-03-15,Liverpool,Torque FC,L,NB propio,-12.475410334331048,-1.8678594286294032,-10.82218922745107,-0.21463832174942432,-13.859134063690194,-3.2515831579885486
2025-03-15,Plaza Colonia,CA Penarol,L,NB propio,-12.217480573303131,-1.5863409574839924,-10.949214789020921,-0.31807517320178214,-13.322646100903684,-2.6915064850845454
2025-03-16,CA Juventud,Defensor Sporting,L,NB propio,-12.10384379154417,-2.03329151750485,-13.085659159396213,-3.015106885356893,-10.268935571316117,-0.1983832972767967
2025-03-16,Danubio,Montevideo Wanderers,E,NB propio,-11.552224975990171,-0.8071413968737744,-11.848362519677359,-1.103278940560962,-12.249769503004826,-1.5046859238884291
2025-03-16,Miramar Misiones,CA Progreso,E,NB propio,-12.184088141227296,-0.9046082774317838,-12.369736352386045,-1.0902564885905335,-12.629753446872755,-1.350273583077243
